SKU,Product_Family,ADI,CV2,Demand_Class,n_months,Short_History_Flag,n_train,n_test,SMA_Window,Selected_Method,Selected_WMAPE,Runner_Up_Method,Tracking_Signal_Guardrail_Applied,Fallback_Used,WMAPE_SMA,Bias_SMA,TrackingSignal_SMA,WMAPE_SES,Bias_SES,TrackingSignal_SES,WMAPE_Holt_Winters,Bias_Holt_Winters,TrackingSignal_Holt_Winters,WMAPE_Croston,Bias_Croston,TrackingSignal_Croston
FOODS_1_124,FOODS_1,1.3,0.23976843695158667,Smooth,65,False,52,13,3,SES,55.11709930274063,Holt-Winters,False,False,66.75461741424802,-14.511873350923482,-2.8260869565217392,55.11709930274063,-6.640353419421563,-1.5662035111522632,58.0386294963652,-1.0075276266830973,-0.22567485243083737,55.22732913925136,-26.141773561628124,-6.153530536381329
FOODS_1_128,FOODS_1,1.0483870967741935,0.359551993073881,Smooth,65,False,52,13,12,Holt-Winters,34.91227359767316,SMA,False,False,38.53276353276353,-5.484330484330485,-1.850277264325324,49.754186783914946,17.912958330864274,4.680379147037325,34.91227359767316,-4.639250375026358,-1.7274800137726414,40.268589652294736,-0.30326906836059453,-0.09790504019956564
FOODS_1_135,FOODS_1,1.3829787234042554,0.25336516824871325,Intermittent,65,False,52,13,6,SES,70.07512539888042,Croston,False,False,72.31481481481481,-10.462962962962964,-1.8809218950064024,70.07512539888042,-12.803477431793448,-2.375239511394069,58.66272161179889,-12.615564956629832,-2.795682503813493,71.98713581435715,-16.46673530569071,-2.9736918485828343
FOODS_1_185,FOODS_1,1.015625,0.2134408119953864,Smooth,65,False,52,13,12,SMA,34.67847769028871,SES,False,False,34.67847769028871,-14.763779527559052,-5.534531693472092,43.64431115825263,-4.656451908186035,-1.3869820189606135,46.20570740286771,-9.724030166320102,-2.7358609848772852,36.74574758666459,-16.131880931525206,-5.707176092014936
FOODS_2_045,FOODS_2,1.911764705882353,0.1813550501248546,Intermittent,65,False,52,13,3,SES,27.87497605265176,SMA,False,False,35.17441860465116,-14.244186046511631,-5.264462809917357,27.87497605265176,-6.150230685824207,-2.868271483523256,25.731332040972475,-4.47788023282676,-2.262317509799148,68.28699317826289,-63.90439723223634,-12.165672046071565
FOODS_2_069,FOODS_2,1.3,0.17551608619259726,Smooth,65,False,52,13,6,SES,31.467522038473906,SMA,False,False,31.692573402417963,-4.231433506044904,-1.735694822888283,31.467522038473906,-2.878010848120283,-1.1889763985807056,33.70845904412334,2.185241414906131,0.8427599243440445,35.61444184673644,-21.305415900106212,-7.776912744927973
FOODS_2_111,FOODS_2,1.3265306122448979,0.2618887855343747,Intermittent,65,False,52,13,3,Croston,49.796900583819244,SES,False,False,60.144927536231876,-9.42028985507247,-2.0361445783132543,59.384261585631826,-9.643241436097991,-2.1110330468368668,76.62680433028122,-7.295056848474038,-1.2376313988170002,49.796900583819244,-17.329825032636005,-4.52413147772237
FOODS_2_314,FOODS_2,1.1818181818181819,0.47962024783472645,Smooth,65,False,52,13,3,SMA,34.55284552845528,SES,False,False,34.55284552845528,2.84552845528455,1.0705882352941167,35.77235760242958,3.2520324839809094,1.1818181726127128,43.455835399348494,0.16315962336856696,0.04880990284271858,37.77076487298632,-16.810480913117093,-5.785857199487626
FOODS_2_361,FOODS_2,1.1607142857142858,0.3193294298921417,Smooth,65,False,52,13,3,Holt-Winters,67.04649343852006,SES,False,False,72.80701754385964,-17.1451355661882,-3.061336254107339,71.45767705710723,-11.30647742438479,-2.056940731498116,67.04649343852006,-11.505213953943901,-2.2308069181637453,68.2849369897955,-34.362458482355294,-6.541881415770734
FOODS_2_395,FOODS_2,2.4074074074074074,0.3580546726001273,Intermittent,65,False,52,13,6,SES,65.51624833184275,SMA,False,False,70.0,39.33333333333333,7.304761904761905,65.51624833184275,22.909091493475287,4.5457149485531625,77.46002905298589,34.94686517831005,5.865079743350782,76.8157200867887,-50.21075382615682,-8.497476805562112
FOODS_3_004,FOODS_3,1.7567567567567568,0.1901572582479494,Intermittent,65,False,52,13,3,SES,18.76813627397871,SMA,False,False,19.75,7.916666666666665,5.210970464135021,18.76813627397871,7.700048630122113,5.333541419899701,26.2164764108315,12.644886493256616,6.270237153014961,56.46640795817574,-56.46640795817574,-13.0
FOODS_3_021,FOODS_3,1.3265306122448979,0.45305110669871135,Intermittent,65,False,52,13,3,SES,26.758643855434457,SMA,True,False,26.19479733817302,13.611615245009078,6.755196304849886,26.758643855434457,6.897307410024453,3.3508796938566707,53.27990510282441,4.79436760714852,1.1697989846762467,51.986181449180535,51.986181449180535,13.0
FOODS_3_027,FOODS_3,1.911764705882353,0.3498149531836963,Intermittent,65,False,52,13,3,SES,44.421228978493936,SMA,False,False,59.36739659367395,-16.54501216545012,-3.622950819672132,44.421228978493936,-7.955839373951893,-2.3282991992735536,69.46721626592738,-7.359267555766024,-1.3772032818865558,122.92786537037135,69.96018045756361,7.398504344056842
FOODS_3_032,FOODS_3,1.5853658536585367,0.14780248949305239,Intermittent,65,False,52,13,12,SES,21.160064080487867,Croston,False,False,40.23994811932555,40.23994811932555,13.0,21.160064080487867,12.719395484922766,7.814349742752932,34.480678481848265,12.812547207533465,4.830621699791064,28.68593924939337,-21.75808161717894,-9.860407866174638
FOODS_3_100,FOODS_3,1.4772727272727273,0.1737882288621619,Intermittent,65,False,52,13,6,SES,45.117563220429325,SMA,False,False,50.21367521367522,20.58404558404559,5.3290780141843985,45.117563220429325,7.036177504240955,2.027376946495073,44.3399719073526,15.479776678107877,4.538503029182853,58.293800091385016,-9.442281063275724,-2.1057068441267224
FOODS_3_116,FOODS_3,1.1403508771929824,0.30734107532830496,Smooth,65,False,52,13,3,SES,57.586540078473405,Holt-Winters,False,False,77.34234234234233,6.981981981981981,1.1735585323238207,57.586540078473405,7.561858314485249,1.707068317602495,64.01791589033134,6.69589358157804,1.3597227487010588,82.30698000816284,23.461608414064216,3.705650594306657
FOODS_3_131,FOODS_3,1.1403508771929824,0.23561200664286638,Smooth,65,False,52,13,6,SMA,15.040650406504064,SES,False,False,15.040650406504064,1.1488158359844478,0.9929494712103418,19.47977079298254,1.4128097619430917,0.9428512840549754,27.54227234805177,4.340290696776045,2.04862468662938,15.732346050575824,-1.0296537883379606,-0.8508266475554395
FOODS_3_168,FOODS_3,1.1818181818181819,0.12418825344130914,Smooth,65,False,52,13,12,SMA,26.48092369477911,SES,False,False,26.48092369477911,-18.348393574297187,-9.007582938388625,35.56418207126612,-0.6318620450456623,-0.23096852246266716,40.17586611512192,0.6228409171543002,0.20153720892549157,28.82692004719584,-23.241642335887526,-10.481222061596164
FOODS_3_184,FOODS_3,1.0317460317460319,0.09622994768663187,Smooth,65,False,52,13,6,SMA,47.427293064876956,SES,False,False,47.427293064876956,24.205816554809843,6.634905660377359,47.8542147642306,26.338204277644166,7.154994754303315,59.51869267766816,40.31196077057829,8.804889127111945,54.264620948624675,45.04091383282861,10.790306273052702
FOODS_3_307,FOODS_3,1.6666666666666667,0.13500858397203944,Intermittent,65,False,52,13,3,SES,36.93379827285062,SMA,False,False,64.3437862950058,-39.721254355400696,-8.025270758122744,36.93379827285062,-19.16376344002913,-6.745283084071777,76.93387269000827,-15.51264042216233,-2.621268349517277,198.08320544675993,84.52310304556741,5.547165581827722
FOODS_3_371,FOODS_3,3.25,0.34804217968225704,Intermittent,65,False,52,13,12,SES,45.103167748879116,SMA,False,False,55.52721088435374,-46.088435374149654,-10.790199081163857,45.103167748879116,-13.001634619860225,-3.747436344144217,51.00776864827328,-12.345341459750163,-3.146372468935377,94.14867864024329,-93.33590481458978,-12.887772617883781
FOODS_3_404,FOODS_3,1.0833333333333333,0.4644805226407193,Smooth,65,False,52,13,12,Holt-Winters,54.93660869478019,SES,False,False,90.24225747275277,-9.552713931153555,-1.3761322531463933,62.31790293079242,0.22661063799622247,0.0472727443544197,54.93660869478019,-2.1285392100887344,-0.5036898051878239,88.66765027730158,-6.549058233200957,-0.9601896155514478
FOODS_3_429,FOODS_3,2.1666666666666665,0.2081887437517047,Intermittent,65,False,52,13,6,SES,20.392982392302706,SMA,False,False,24.166666666666668,2.0555555555555536,1.1057471264367806,20.392982392302706,1.346113881193265,0.8581128605356709,21.69204260369699,6.323698012022584,3.789780227625166,78.50326538895364,-78.50326538895364,-13.0
FOODS_3_465,FOODS_3,1.5476190476190477,0.5277771906996596,Lumpy,65,False,52,13,3,SMA,38.415841584158414,SES,False,False,38.415841584158414,-1.5841584158415842,-0.5360824742268041,41.98019783685703,0.39603958625604607,0.12264150448591735,51.95119090907154,0.32685972366061117,0.08179170358240946,44.413454253422024,-30.40282882670547,-8.899032542975835
FOODS_3_474,FOODS_3,1.2264150943396226,0.2446101209895723,Smooth,65,False,52,13,3,SES,27.88579727657245,SMA,False,False,28.660801564027366,-2.6588465298142716,-1.2060027285129604,27.88579727657245,-0.5409652017803015,-0.2521910187252253,30.593639992580922,0.07573810483331357,0.032183008071999426,23.824446892167288,-1.379160107697136,-0.7525497435979206
FOODS_3_502,FOODS_3,1.8571428571428572,0.13280384914997456,Intermittent,65,False,52,13,3,SMA,22.08835341365462,SES,False,False,22.08835341365462,5.863453815261047,3.450909090909092,28.78898271138573,4.942807549118924,2.2319822406622674,27.448978742792452,8.627984221871845,4.086264772738984,50.02809598741618,-50.02809598741618,-13.0
FOODS_3_503,FOODS_3,1.0833333333333333,0.5193411771170993,Erratic,65,False,52,13,3,Holt-Winters,24.42854040984733,SES,False,False,27.676240208877278,-15.72381781259066,-7.385744234800841,24.518795763451937,-6.974811457445321,-3.698083291755583,24.42854040984733,-3.891919714399824,-2.0711411913420132,18.37501441317557,3.9825687358078317,2.817597439726543
FOODS_3_564,FOODS_3,1.6666666666666667,0.5487346461868136,Lumpy,65,False,52,13,3,SES,72.55373139838113,Croston,True,False,85.55555555555557,-1.3888888888888915,-0.2110389610389614,72.55373139838113,-1.963789468182881,-0.35186699008215416,62.58338751086632,-0.22206222534530085,-0.04612739968714023,63.132625899576,-29.551260998929497,-6.085069130455153
FOODS_3_581,FOODS_3,1.0,0.2006601034005601,Smooth,65,False,52,13,12,Holt-Winters,29.050556231171033,SMA,False,False,43.134715025906736,9.455958549222794,2.8498498498498486,49.11622473559709,6.0744091364851105,1.6077644240656528,29.050556231171033,3.3088622959295995,1.4807017636698394,40.8769806644879,6.077798274287679,1.9329064006525656
FOODS_3_596,FOODS_3,1.0,0.058832701179202,Smooth,65,False,52,13,12,SMA,13.26305220883534,SES,False,False,13.26305220883534,-7.218875502008033,-7.075700227100683,13.94881131886401,-7.279788169425067,-6.784610103266716,15.757637591098886,-11.061416044594962,-9.125632427348298,13.691416627628527,-7.050388310168188,-6.694343655223492
FOODS_3_663,FOODS_3,1.7567567567567568,0.30363497956312746,Intermittent,65,False,52,13,3,SES,45.908031349962734,SMA,False,False,53.78221113881961,21.695760598503732,5.24420401854714,45.908031349962734,15.404911581933655,4.362283562945682,60.58630859426033,13.574084122908628,2.912590281404427,85.37503259072483,-4.1605882641007215,-0.6335300355620067
FOODS_3_710,FOODS_3,1.8571428571428572,0.1537632368474778,Intermittent,65,False,52,13,3,SES,19.0318101012216,SMA,False,False,19.180633147113596,-0.9310986964618236,-0.6310679611650476,19.0318101012216,-0.655586079964413,-0.44780916760988104,26.84033565856788,1.356259315464135,0.6568983087737775,58.87271642341608,-58.87271642341608,-13.0
FOODS_3_770,FOODS_3,1.5476190476190477,0.32511103939016706,Intermittent,65,False,52,13,6,SES,31.05877987897835,Croston,True,False,43.455743879472685,17.278719397363467,5.169014084507043,31.05877987897835,6.9214340989776275,2.8970437228157113,43.896064326748416,10.47051201368633,3.1008851992906,27.767414678412166,-15.546513991636413,-7.278483943570017
FOODS_3_818,FOODS_3,1.3265306122448979,0.09306028988347088,Intermittent,65,False,52,13,12,SMA,18.90261215218626,SES,False,False,18.90261215218626,10.14338444065872,6.975966954562525,22.786212692828933,4.731544351243818,2.699442746162354,24.07174843352205,7.553388688249549,4.079223959091404,27.251613969624334,-13.947143912699108,-6.653289271864283
FOODS_3_825,FOODS_3,1.25,0.14147837887557405,Smooth,65,False,52,13,6,SES,22.602932603346556,SMA,False,False,22.7059925093633,3.97940074906367,2.278350515463917,22.602932603346556,2.978010826077059,1.7127928228777627,27.866969627816484,4.928547838441158,2.2991779427562875,21.04182890401974,8.676485306277094,5.360480284109451
